Product Name,Product URL,Product Discount,Product Discount Expiry,Product Price,Product Old Price
Baby stroller Primavera Buba - blue,https://detski-magazin.com/transformirassha-kolichka/bebeshka-kolichka-primavera-buba-sinya-31619.html,37%,to 30.09.2021,"186,49лв","296,01лв"
Baby summer stroller Guarana Yellow 2020 Kikka boo,https://detski-magazin.com/letni-kolichki/bebeshka-lyatna-kolichka-guarana-yellow-2020-33567.html,20%,,"94,26лв","117,82лв"
Baby summer stroller Vivi Black 2020 Kikka boo,https://detski-magazin.com/letni-kolichki/bebeshka-lyatna-kolichka-vivi-black-2020-33864.html,20%,,"110,09лв","137,61лв"
Baby summer stroller Vivi Orange 2020 Kikka boo,https://detski-magazin.com/letni-kolichki/bebeshka-lyatna-kolichka-vivi-orange-2020-33865.html,20%,,"110,09лв","137,61лв"
Baby summer stroller Pine Purple Kikka boo,https://detski-magazin.com/letni-kolichki/bebeshka-lyatna-kolichka-pine-purple-36666.html,20%,,"157,61лв","197,01лв"
Combined stroller 2 in 1 Tiara Gray Kikka boo,https://detski-magazin.com/2-v-1/kombinirana-kolichka-2-v-1-tiara-grey-33015.html,15%,,"285,28лв","335,62лв"
KinderKraft | Baby stroller KinderKraft ALL ROAD blue,https://detski-magazin.com/letni-kolichki/kinderkraft-bebeshka-kolichka-kinderkraft-all-road-sinya-42324.html,10%,to 01.10.2021,"444,61лв","494,01лв"
KinderKraft | Baby stroller KinderKraft ALL ROAD birds,https://detski-magazin.com/letni-kolichki/kinderkraft-bebeshka-kolichka-kinderkraft-all-road-ptici-42325.html,10%,to 01.10.2021,"444,61лв","494,01лв"
KinderKraft | Baby stroller KinderKraft ALL ROAD gray,https://detski-magazin.com/letni-kolichki/kinderkraft-bebeshka-kolichka-kinderkraft-all-road-siva-42326.html,10%,to 01.10.2021,"444,61лв","494,01лв"
Baby stroller 3in1 Buba Forester 598 - beige,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-3v1-buba-forester-598-bezhova-22883.html,5%,to 01.10.2021,"892,53лв","939,51лв"
Baby stroller 3in1 Buba Forester 599 - green,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-3v1-buba-forester-599-zelena-22884.html,5%,to 01.10.2021,"892,53лв","939,51лв"
Baby stroller Kikkaboo Verona 2in1 - yellow,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-kikkaboo-verona-2v1-zhlta-16568.html,,,"269,00лв",
Baby stroller Kikkaboo Verona 2in1 - blue,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-kikkaboo-verona-2v1-sinya-16569.html,,,"269,00лв",
Baby stroller Kikkaboo Verona 2in1 - beige,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-kikkaboo-verona-2v1-bezhava-16573.html,,,"269,00лв",
Britax B-Dual 4 - Neon Black - stroller,https://detski-magazin.com/kombinirani-kolichki/britax-b-dual-4-neon-black-detska-kolichka--2296.html,,,"799,00лв",
Baby stroller for two children HAUCK Freerider Black,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-za-dve-deca-hauck-freerider-black-21633.html,,,"563,31лв",
Stroller tricycle HAUCK Citi Neo II - Caviar Stone,https://detski-magazin.com/detski-kolicki/detska-kolichka-trikolka-hauck-citi-neo-ii-caviar-stone-22291.html,,,"199,00лв",
Combined baby stroller Cangaroo Luxor - blue,https://detski-magazin.com/transformirassha-kolichka/kombinirana-bebeshka-kolichka-cangaroo-luxor-sinya-18421.html,,,"385,11лв",
Combined stroller Cangaroo Luxor - brown,https://detski-magazin.com/transformirassha-kolichka/kombinirana-bebeshka-kolichka-cangaroo-luxor-kafyava-18422.html,,,"385,11лв",
Tриколка Citi Neo II Caviar/Stone,https://detski-magazin.com/bebeshki-kolichki-trikolki/trikolka-citi-neo-ii-caviar-stone-27997.html,,,"206,91лв",
Baby stroller Graco FAF FOLD 2.0 Sport Lime,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-graco-faf-fold-20-sport-lime--16634.html,,,"573,21лв",
Combined stroller Cangaroo Luxor - gray,https://detski-magazin.com/transformirassha-kolichka/kombinirana-bebeshka-kolichka-cangaroo-luxor-siva-18423.html,,,"385,11лв",
Stroller Phil & Teds sport v5,https://detski-magazin.com/bebeshki-kolichki-trikolki/kolichka-phil-teds-sport-v5-29690.html,,,"1079,00лв",
Combined baby stroller Cangaroo Luxor - black,https://detski-magazin.com/transformirassha-kolichka/kombinirana-bebeshka-kolichka-cangaroo-luxor-cherna-28353.html,,,"385,11лв",
Dash V5 stroller,https://detski-magazin.com/bebeshki-kolichki-trikolki/kolichka-dash-v5-29692.html,,,"1299,00лв",
Combined stroller Cangaroo Luxor - purple,https://detski-magazin.com/transformirassha-kolichka/kombinirana-bebeshka-kolichka-cangaroo-luxor-lilava-18424.html,,,"385,11лв",
"CAM Comb.col. ""Cortina Run"" 179 blue",https://detski-magazin.com/bebeshki-kolichki-trikolki/cam-kombkolcortina-run179-sinya-35457.html,,,"913,28лв",
Combined baby stroller Azaria - Beige,https://detski-magazin.com/detski-kolicki/kombinirana-bebeshka-kolichka-azaria-bezhova-12975.html,,,"563,31лв",
"CAM Combination set ""Minu Sport"" 178 burgundy",https://detski-magazin.com/bebeshki-kolichki-trikolki/cam-kombkolminu-sport-178-bordo-35511.html,,,"1225,13лв",
Combined stroller Kikka boo Amica 2 in 1 - Gray,https://detski-magazin.com/transformirassha-kolichka/kombinirana-kolichka-kikka-boo-amica-2-v-1-grey-28394.html,,,"315,81лв",
Combined stroller Kikka boo Amica 3 in 1 - Mint,https://detski-magazin.com/transformirassha-kolichka/kombinirana-kolichka-kikka-boo-amica-3-v-1-mint-28395.html,,,"414,81лв",
"Transforming stroller Phil and Teds, Mod",https://detski-magazin.com/transformirassha-kolichka/transformirashha-kolichka-phil-and-teds-mod-29691.html,,,"969,00лв",
"CAM Combi set ""Kombi Family"" 820 gray bear",https://detski-magazin.com/bebeshki-kolichki-trikolki/cam-kombkolkombi-femili820-sivo-meche-43816.html,,,"1299,38лв",
Combined stroller 3 in 1 Kikka boo Amaia - Gray,https://detski-magazin.com/3-v-1/kombinirana-kolichka-3-v-1-kikka-boo-amaia-grey-30166.html,,,"492,03лв",
Combined stroller 3 in 1 Kikka boo Amaia - Black,https://detski-magazin.com/3-v-1/kombinirana-kolichka-3-v-1-kikka-boo-amaia-black-30167.html,,,"492,03лв",
Combined stroller 3 in 1 Kikka boo Amaia - Blue,https://detski-magazin.com/3-v-1/kombinirana-kolichka-3-v-1-kikka-boo-amaia-blue-30168.html,,,"492,03лв",
Combined stroller 3 in 1 Kikka boo Amaia - Beige,https://detski-magazin.com/3-v-1/kombinirana-kolichka-3-v-1-kikka-boo-amaia-beige-30169.html,,,"492,03лв",
Combined stroller Cangaroo Rachel - turquoise,https://detski-magazin.com/2-v-1/kombinirana-detska-kolichka-cangaroo-rachel-tyurkoaz-9683.html,,,"297,00лв",
Combined baby stroller Cangaroo Rachel - green and gray,https://detski-magazin.com/2-v-1/kombinirana-bebeshka-kolichka-cangaroo-rachel-zeleno-i-sivo-15834.html,,,"297,00лв",
NIMBLY Graco summer stroller,https://detski-magazin.com/detski-kolicki/lyatna-kolichka-nimbly-graco-4024.html,,,"249,00лв",
Sarah Cangaroo Combined stroller - khaki,https://detski-magazin.com/detski-kolicki/sarah-cangaroo-kombinirana-detska-kolichka-kaki-14549.html,,,"297,00лв",
Baby stroller Sarah Cangaroo - black,https://detski-magazin.com/2-v-1/bebeshka-kolichka-sarah-cangaroo-cherna-18943.html,,,"297,00лв",
Baby stroller Sarah Cangaroo - pink,https://detski-magazin.com/2-v-1/bebeshka-kolichka-sarah-cangaroo-rozova-18645.html,,,"297,00лв",
Newborn basket Cybex Mios Birds of Paradise,https://detski-magazin.com/detski-kolicki/kosh-za-novorodeno-cybex-mios-birds-of-paradise-19520.html,,,"609,00лв",
Newborn basket Cybex Mios Butterfly,https://detski-magazin.com/detski-kolicki/kosh-za-novorodeno-cybex-mios-butterfly-19521.html,,,"609,00лв",
Newborn basket Britax Romer Affinity - Blue Sky,https://detski-magazin.com/detski-kolicki/kosh-za-novorodeno-britax-romer-affinity-blue-sky-20275.html,,,"349,00лв",
Кош за Pockit TO GO Satin Black,https://detski-magazin.com/koshove/kosh-za-pockit-to-go-satin-black-27306.html,,,"335,61лв",
Smart stroller seat,https://detski-magazin.com/koshove/sedalka-za-kolichka-smart-29693.html,,,"67,00лв",
Combined stroller 3 in 1 Kikka boo Amaia - All Black,https://detski-magazin.com/3-v-1/kombinirana-kolichka-3-v-1-kikka-boo-amaia-all-black-32322.html,,,"492,03лв",
Smart chassis,https://detski-magazin.com/koshove/shasi-smart-29696.html,,,"587,00лв",
Newborn basket Cocoon (long),https://detski-magazin.com/koshove/kosh-za-novorodeno-cocoon-dlg-29707.html,,,"136,00лв",
Newborn basket Cocoon,https://detski-magazin.com/koshove/kosh-za-novorodeno-cocoon-29710.html,,,"119,00лв",
Basket for newborn EVO Mutsy Bold - Collection 2019 MT-0018,https://detski-magazin.com/koshove/kosh-za-novorodeno-evo-mutsy-bold-kolekciya-2019-mt-0018-29792.html,,,"457,00лв",
Chassis Mutsy EVO Bold,https://detski-magazin.com/koshove/shasi-mutsy-evo-bold-29794.html,,,"759,00лв",
Newborn basket EVO Mutsy Farmer MT-0018,https://detski-magazin.com/koshove/kosh-za-novorodeno-evo-mutsy-farmer-mt-0018-29802.html,,,"457,00лв",
Newborn basket EVO Mutsy Industrial MT-0018,https://detski-magazin.com/koshove/kosh-za-novorodeno-evo-mutsy-industrial-mt-0018-29803.html,,,"379,00лв",
Newborn basket EVO Mutsy Urban nomad - Collection 2019 MT-0018,https://detski-magazin.com/koshove/kosh-za-novorodeno-evo-mutsy-urban-nomad-kolekciya-2019-mt-0018-29804.html,,,"379,00лв",
Шаси Mutsy EVO Urban nomad/Industrial,https://detski-magazin.com/koshove/shasi-mutsy-evo-urban-nomad-industrial-29805.html,,,"759,00лв",
Basket for newborn i2 Farmer Mutsy - Collection 2018 MT-0085,https://detski-magazin.com/koshove/kosh-za-novorodeno-i2-farmer-mutsy-kolekciya-2018-mt-0085-29827.html,,,"599,00лв",
Basket for newborn i2 Pure Mutsy - Collection 2019 MT-0085,https://detski-magazin.com/koshove/kosh-za-novorodeno-i2-pure-mutsy-kolekciya-2019-mt-0085-29829.html,,,"599,00лв",
Basket for newborn i2 Urban Nomad Mutsy - Collection 2019 MT-0085,https://detski-magazin.com/koshove/kosh-za-novorodeno-i2-urban-nomad-mutsy-kolekciya-2019-mt-0085-29830.html,,,"599,00лв",
Basket for newborn i2 Heritage Mutsy - Collection 2019 MT-0085,https://detski-magazin.com/koshove/kosh-za-novorodeno-i2-heritage-mutsy-kolekciya-2019-mt-0085-29831.html,,,"599,00лв",
Stroller Crosswalk Formula Koos 3in1 2016 - white,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-crosswalk-formula-koos-3v1-2016-byala-17609.html,,,"1449,00лв",
Seat and canopy i2 Farmer - Collection 2018 Mutsy MT-0084,https://detski-magazin.com/koshove/sedalka-i-sennik-i2-farmer-kolekciya-2018-mutsy-mt-0084-29832.html,,,"497,00лв",
Seat and canopy i2 Heritage Mutsy - Collection 2019 MT-0084,https://detski-magazin.com/koshove/sedalka-i-sennik-i2-heritage-mutsy-kolekciya-2019-mt-0084-29833.html,,,"497,00лв",
"Chipolino Shopping cart transfer. seat ""Milo"" truffle",https://detski-magazin.com/transformirassha-kolichka/chipolino-kolichka-transf-sedalkamilo-tryufel-35724.html,,,"346,50лв",
Seat and canopy i2 Pure - Collection 2019 MT-0084,https://detski-magazin.com/koshove/sedalka-i-sennik-i2-pure-kolekciya-2019-mt-0084-29834.html,,,"497,00лв",
"Chipolino Shopping cart transfer. seat ""Milo"" navy blue",https://detski-magazin.com/transformirassha-kolichka/chipolino-kolichka-transf-sedalkamilomorsko-sinya-35725.html,,,"346,50лв",
Chassis i2 Farmer Mutsy MT-0082,https://detski-magazin.com/koshove/shasi-i2-farmer-mutsy-mt-0082-29835.html,,,"979,00лв",
Chassis i2 Urban nomad Mutsy MT-0083,https://detski-magazin.com/koshove/shasi-i2-urban-nomad-mutsy-mt-0083-29836.html,,,"979,00лв",
Seat and canopy i2 Urban Nomad - Collection 2019 MT-0084,https://detski-magazin.com/koshove/sedalka-i-sennik-i2-urban-nomad-kolekciya-2019-mt-0084-29840.html,,,"497,00лв",
"Chipolino Shopping cart transfer. seat ""Cute"" ocean",https://detski-magazin.com/transformirassha-kolichka/chipolino-kolichka-transf-sedalkamilo-okean-35728.html,,,"376,20лв",
Baby stroller KARA Lorelli 3in1 2017 - gray,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-kara-lorelli-3v1-2017-siva-17696.html,,,"670,60лв",
Newborn basket NIO EXPLORE Mutsy - Collection 2019 MT-0105,https://detski-magazin.com/koshove/kosh-za-novorodeno-nio-explore-mutsy-kolekciya-2019-mt-0105-29859.html,,,"477,00лв",
Newborn basket NIO INSPIRE Mutsy - Collection 2019 MT-0105,https://detski-magazin.com/koshove/kosh-za-novorodeno-nio-inspire-mutsy-kolekciya-2019-mt-0105-29860.html,,,"477,00лв",
Newborn basket NIO NORTH Mutsy - Collection 2019 MT-0105,https://detski-magazin.com/koshove/kosh-za-novorodeno-nio-north-mutsy-kolekciya-2019-mt-0105-29861.html,,,"477,00лв",
Newborn basket NIO ADVENTURE Mutsy - Collection 2019 MT-0105,https://detski-magazin.com/koshove/kosh-za-novorodeno-nio-adventure-mutsy-kolekciya-2019-mt-0105-29862.html,,,"477,00лв",
Seat and canopy NIO NORTH Mutsy - Collection 2019 MT-0104,https://detski-magazin.com/koshove/sedalka-i-sennik-nio-north-mutsy-kolekciya-2019-mt-0104-29863.html,,,"437,00лв",
Seat and canopy NIO ADVENTURE Mutsy - Collection 2019 MT-0104,https://detski-magazin.com/koshove/sedalka-i-sennik-nio-adventure-mutsy-kolekciya-2019-mt-0104-29864.html,,,"437,00лв",
Chassis NIO Gray grip (gray handle) Mutsy - Collection 2019 MT-0101,https://detski-magazin.com/koshove/shasi-nio-grey-grip-siva-drzhka-mutsy-kolekciya-2019-mt-0101-29866.html,,,"881,00лв",
Stroller Crosswalk Convert Jane 2017 - red,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-crosswalk-convert-jane-2017-chervena-17608.html,,,"999,00лв",
Newborn basket NIO NORTH Mutsy - Collection 2018 MT-0105,https://detski-magazin.com/koshove/kosh-za-novorodeno-nio-north-mutsy-kolekciya-2018-mt-0105-29872.html,,,"477,00лв",
Seat and canopy NIO NORTH Mutsy - Collection 2018 MT-0104,https://detski-magazin.com/koshove/sedalka-i-sennik-nio-north-mutsy-kolekciya-2018-mt-0104-29875.html,,,"437,00лв",
Seat and canopy NIO ADVENTURE Mutsy - Collection 2018 MT-0104,https://detski-magazin.com/koshove/sedalka-i-sennik-nio-adventure-mutsy-kolekciya-2018-mt-0104-29876.html,,,"437,00лв",
Baby stroller COCOON CITYSPORT - Graco - Voyage,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-cocoon-citysport-graco-voyage-2615.html,,,"219,00лв",
Baby stroller Gusio Carrera 2in1 - raspberry and purple,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-gusio-carrera-2v1-malina-i-lilavo-17623.html,,,"635,00лв",
Chassis NIO Cognac grip (handle sv.kafyava) Mutsy - Collection 2019 MT-0100,https://detski-magazin.com/koshove/shasi-nio-cognac-grip-svkafyava-drzhka-mutsy-kolekciya-2019-mt-0100-29877.html,,,"881,00лв",
Newborn basket NIO ADVENTURE Mutsy - Collection 2018 MT-0105,https://detski-magazin.com/koshove/kosh-za-novorodeno-nio-adventure-mutsy-kolekciya-2018-mt-0105-29878.html,,,"477,00лв",
Newborn Basket Rider,https://detski-magazin.com/koshove/kosh-za-novorodeno-rider-29879.html,,,"425,00лв",
"Chipolino Stroller 0+ ""Oreo"" linen orchid",https://detski-magazin.com/transformirassha-kolichka/chipolino-detska-kolichka-0-oreo-len-orkhideya-35787.html,,,"173,57лв",
Seat and Canopy Rider,https://detski-magazin.com/koshove/sedalka-i-sennik-rider-29880.html,,,"395,00лв",
"Chipolino Stroller ""Fresh"" 3.0 black",https://detski-magazin.com/transformirassha-kolichka/chipolino-detska-kolichka-fresh-30-black-35809.html,,,"714,66лв",
Newborn basket Britax-Romer - lagoon green,https://detski-magazin.com/koshove/kosh-za-novorodeno-britax-romer-lagoon-green-30797.html,,,"319,00лв",
Newborn basket Britax-Romer - Wood Brown,https://detski-magazin.com/koshove/kosh-za-novorodeno-britax-romer-wood-brown-30798.html,,,"319,00лв",
"Chipolino Children's complex ""MARLA TEXAS"" black chassis",https://detski-magazin.com/transformirassha-kolichka/chipolino-detska-k-ka-marla-texas-black-chassis-35835.html,,,"872,44лв",
Newborn basket Britax-Romer - Blue Sky,https://detski-magazin.com/koshove/kosh-za-novorodeno-britax-romer-blue-sky-30799.html,,,"319,00лв",
"Chipolino Children's k-ka ""MARLA TEXASI"" silver chassi",https://detski-magazin.com/transformirassha-kolichka/chipolino-detska-k-kamarla-texasisilver-chassi-35836.html,,,"918,84лв",
Newborn basket Britax-Romer - Flame Red,https://detski-magazin.com/koshove/kosh-za-novorodeno-britax-romer-flame-red-30800.html,,,"319,00лв",
"Chipolino Детска к-ка ""MARLA HELSINKI"" black chassi",https://detski-magazin.com/transformirassha-kolichka/chipolino-detska-k-kamarla-helsinki-black-chassi-35837.html,,,"872,44лв",
Newborn basket Britax-Romer - Steel Gray,https://detski-magazin.com/koshove/kosh-za-novorodeno-britax-romer-steel-grey-30801.html,,,"319,00лв",
"Chipolino Children's k-ka ""MARLA HELSINKI"" silver chassi",https://detski-magazin.com/transformirassha-kolichka/chipolino-detska-k-kamarla-helsinkisilver-chassi-35838.html,,,"918,84лв",
Newborn basket Britax-Romer - Cosmos Black,https://detski-magazin.com/koshove/kosh-za-novorodeno-britax-romer-cosmos-black-30802.html,,,"319,00лв",
Newborn basket Britax-Romer - Olive Green,https://detski-magazin.com/koshove/kosh-za-novorodeno-britax-romer-olive-green-30803.html,,,"319,00лв",
Cart 3 Pacific N drive caviar,https://detski-magazin.com/detski-kolicki/kolichka-pacific-3-shop-n-drive-caviar-37594.html,,,"593,01лв",
Newborn basket Britax-Romer - Wine Red,https://detski-magazin.com/koshove/kosh-za-novorodeno-britax-romer-wine-red-30804.html,,,"319,00лв",
Shopping cart Pacific 4 Shop N drive melange charcoal,https://detski-magazin.com/detski-kolicki/kolichka-pacific-4-shop-n-drive-melange-charcoal-37595.html,,,"583,11лв",
Newborn basket Britax-Romer - Sand Beige,https://detski-magazin.com/koshove/kosh-za-novorodeno-britax-romer-sand-beige-30805.html,,,"319,00лв",
Britax stroller table,https://detski-magazin.com/koshove/masichka-za-kolichka-britax-30807.html,,,"48,00лв",
Cover for Britax B-Smart,https://detski-magazin.com/koshove/pokrivalo-za-britax-b-smart-30815.html,,,"59,00лв",
Cover for Britax B-Smart,https://detski-magazin.com/koshove/pokrivalo-za-britax-b-smart-30843.html,,,"59,00лв",
"Chipolino Stroller 0+ ""April"" mint",https://detski-magazin.com/transformirassha-kolichka/chipolino-detska-kolichka-0-ejpril-menta-39031.html,,,"147,51лв",
Cover for Britax B-Smart,https://detski-magazin.com/koshove/pokrivalo-za-britax-b-smart-30844.html,,,"59,00лв",
"Chipolino Shopping cart transfer. seat ""Adora"" fog",https://detski-magazin.com/transformirassha-kolichka/chipolino-kolichka-transf-sedalkaadora-mgla-39185.html,,,"273,80лв",
Children's summer stroller Peg Perego Pliko Mini - Neon,https://detski-magazin.com/detski-kolicki/detska-lyatna-kolichka-peg-perego-pliko-mini-neon-7343.html,,,"369,00лв",
Newborn basket Angel Nest,https://detski-magazin.com/koshove/kosh-za-novorodeno-angel-nest-30913.html,,,"319,00лв",
"Chipolino Shopping cart transfer. seat ""Adora"" mint",https://detski-magazin.com/transformirassha-kolichka/chipolino-kolichka-transf-sedalkaadora-menta-39225.html,,,"273,80лв",
Chassis Mutsy EVO Urban Nomad,https://detski-magazin.com/koshove/shasi-mutsy-evo-urban-nomad-32105.html,,,"759,00лв",
Mutsy EVO Farmer chassis,https://detski-magazin.com/koshove/shasi-mutsy-evo-farmer-32106.html,,,"759,00лв",
"Chipolino Shopping cart transfer. seat ""Adora"" peony",https://detski-magazin.com/transformirassha-kolichka/chipolino-kolichka-transf-sedalkaadora-bozhur-39227.html,,,"273,80лв",
Gala with transforming basket beige,https://detski-magazin.com/transformirassha-kolichka/gala-s-transformirassh-se-kosh-bezhova-17771.html,,,"286,11лв",
Gala stroller with transforming basket - light gray,https://detski-magazin.com/detski-kolicki/bebeshka-kolichka-gala-s-transformirassh-se-kosh-svetlo-sivo-17772.html,,,"286,11лв",
